Gender,Norwegian ,Class,Grammatical Form ,English ,
en,infinitiv,,noun,"infinitiven, infinitiver, infinitivene",infinitive
et,infinitivsmerke,,noun,"infinitivsmerket, infinitivsmerker, infinitivsmerkene",infinitive marker
en,influensa,,noun,"influensaen, influenser, influensene",influenza
en,informasjonsteknologi,,noun,"-teknologien, -teknologier, -teknologiene",information technology
en,informatikk,,noun,"informatikken, informatikker, informatikkene",information science
,ingen,,"det., quant.","intet, ingen",no
,• Ingen årsak.,,,,• Don’t mention it.
,• Vi har ingen grønnsaker.,,,,• We have no vegetables.
,ingen,,pron.,,no one
,• Ingen bruker kassetter nå.,,,,• No one uses cassettes now.
en,ingeniør,,noun,"ingeniøren, ingeniører, ingeniørene",engineer
et,ingeniørfag,,noun,"ingeniørfaget, ingeniørfag, ingeniørfagene",engineering
et,initiativ,,noun,"initiaviet, initiativer, initiativene",initiative
å,inkludere,,verb,"inkluderer, inkluderte, har inkludert",include
,innadvendt,,adj.,"innadvendt, innadvendte",introverted
et,innblikk,,noun,"innblikket, innblikk, innblikkene",insight
en,innbygger,,noun,"innbyggeren, innbyggere, innbyggerne",inhabitant
,inne,,adv.,"inne (with location), inn (with motion)",inside; in
,• Vi er inne i huset.,,,,• We are inside the house.
,• Vennene våre kommer inn.,,,,• Our friends are coming in.
et,innhold,,noun,"innholdet, innhold, innholdene",contents
å,inneholde,,verb,"inneholder, inneholdt, har inneholdt",contain
en,innflytelse,,noun,"innflytelsen, innflytelser, innflytelsene",influence
å,innføre,,verb,"innfører, innførte, har innført",introduce
å,inngå,,verb,"inngår, inngikk, har inngått","enter into, be part of"
,• inngå ekteskap,,,,• get married
,• inngå partnerskap,,,,"• become registered partners
(1993–2008)"
et,innkjøp,,noun,"innkjøpet, innkjøp, innkjøpene",purchase
å,innrede,,verb,"innreder, innredet, har innredet","furnish, decorate"
ei/en,innsjekking,,noun,"innsjekkinga/innsjekkingen, innsjekkinger, innsjekkingene",check-in
en,innsjø,,noun,"innsjøen, innsjøer, innsjøene",lake
ei/en,inntekt,,noun,"inntekta/inntekten, inntekter, inntektene",income
en,innvandrer,,noun,"innvandreren, innvandrere, innvandrerne",immigrant
å,inspirere,,verb,"inspirerer, inspirerte, har inspirert",inspire
,• være inspirert av,,,,• be inspired by
en,instruks,,noun,"instruksen, instrukser, instruksene","instructions, direction"
et,instrument,,noun,"instrumentet, instrumenter, instrumentene",instrument
,intelligent,,adj.,"intelligent, intelligente",intelligent
,interessant,,adj.,"interessant, interessante",interesting
en,interesse,,noun,"interessen, interesser, interessene",an interest
,interessert,,adj.,"interessert, interesserte",interested
,• være interessert i,,,,• be interested in
en,interiør designer,,noun,"-designeren, - designere, - designerne",interior design
en,interiørarktitekt,,noun,"-arkitekten, -arkitekter, -arkitektene",interior designer
,internasjonale,,adj.,"internasjonalt, internasjonale",international
,• internasjonale studier,,,,• international studies
et,Internett,,noun,Internettet,internet
et,intervju,,noun,"intervjuet, intervjuer, intervjuene",interview
å,intervjue,,verb,"intervjuer, intervjuet, har intervjuet",interview
en,inversjon,,noun,"inversjonen, inversjoner, inversjoner",inversion
å,invitere,,verb,"inviterer, inviterte, har invitert",invite
,Irak,,noun,,Iraq
en,iraker,,noun,"irakeren, irakere, irakerne",person from Irak
,irakisk,,adj.,"irakisk, irakiske",Iraqian
,Iran,,noun,,Iran
en,iraner,,noun,"iraneren, iranere, iranerne",person from Iran
,iransk,,adj.,"iransk, iranske",Iranian
,irriterende,,adj.,"irriterende, irriterende",irritating
en,is,,noun,"isen, iser, isene",ice cream
en,isbre,,noun,"isbreen, isbreer, isbreene",glacier
en,ishockey,,noun,ishockeyen,ice hockey
en,ishockeyhall,,noun,"ishockeyhallen, ishockeyhaller, ishockeyhallene",ice hockey hall
en,iskrem,,noun,"iskremen, iskremer, iskremene",ice cream
en,islam,,noun,islam,Islam
,Island,,noun,,Iceland
,islandsk,,adj.,"islandsk, islandske",Icelandic
en,islandsk,,noun,islandsken,Icelandic language
en,islending,,noun,"islendingen, islendinger, islendingene",person from Iceland
,Israel,,noun,,Israel
en,israeler,,noun,"israeleren, israelere, israelerne",person from Israel
,israelsk,,adj.,"israelsk, israelske",Israeli
,istedenfor,,prep.,,instead (of)
,Italia,,noun,,Italy
en,italiener,,noun,"italieneren, italienere, italienerne",person from Italy
,italiensk,,adj.,"italiensk, italienske",Italian
en,italiensk,,noun,italiensken,Italian language
,,,,,
,,,,,
,,,,,
,interj.,,yes,,
ei/en,jakke,,noun,"jakka/jakken, jakker, jakkene",jacket
ei/en,jakt,,noun,"jakta/jakten, jakter, jaktene",hunting
,• gå på jakt,,,,• go hunting
,januar,,noun,,January
,Japan,,noun,,Japan
,japansk,,adj.,"japansk, japanske",Japanese
en,japansk,,noun,japansken,Japanese language
en,jarlsbergost,,noun,"jarlsbergosten, jarlsbergoster, jarlsbergostene",Jarlsberg cheese
en,jazz,,noun,jazzen,jazz
en,jeans,,noun,"jeansen, jeans, jeansene",jeans
,jeg,,"pron., sub.",,I
ei/en,jente,,noun,"jenta/jenten, jenter, jentene",girl
en,jernbane,,noun,"jernbanen, jernbaner, jernbanene",train
en,jernbanestasjon,,noun,"jernbanestasjonen, jernbanestasjoner, jernbanestasjonene",railway station
ei/en,jernvareforretning,,noun,"-forretningen, -forretninger, -forretningene",hardware store
,jo,,interj.,,yes (reply to negative question)
en,jobb,,noun,"jobben, jobber, jobbene",job
å,jobbe,,verb,"jobber, jobbet, har jobbet",work
,• jobbe deltid,,,,• work part-time
,• jobbe heltid,,,,• work full-time
,• jobbe skift,,,,• work a shift
å,jogge,,verb,"jogger, jogget, har jogget",jog
en,joggedress,,noun,"joggedressen, joggedresser, joggedressene",jogging suit
et,jordbruk,,noun,jordbruket,agriculture
et,jordbær,,noun,"jordbæret, jordbær, jordbærene",strawberry
,jordnær,,adj.,"jordnært, jordnære",down-to-earth
en,jotun,,noun,"jotunen, jotner, jotnene",giant in Norse mythology
,Jotunheimen,,noun,,home of the giants in Norse mythology; national park in Norway
en,journalist,,noun,"journalisten, journalister, journalistene",journalist
en,journalistikk,,noun,journalistikken,journalism
en,jugoslav,,noun,"jugoslaven, jugoslaver, jugoslavene",person from the former Yugoslavia
,Jugoslavia,,noun,,Yugoslavia
,jugoslavisk,,adj.,,Yugoslavian
en,juice,,noun,"juicen, juicer, juicene",juice
ei/en,jul,,noun,"jula/julen, juler, julene",Christmas
,• God jul,,,,• Merry Christmas
en,julaften,,noun,"julaftenen, julaftener, julaftenen",Christmas Eve
en,juleferie,,noun,"juleferien, juleferier, juleferiene",Christmas vacation
et,julekort,,noun,"julekortet, julekort, julekortene",Christmas card
en,julesang,,noun,"julesangen, julesanger, julesangene",Christmas song
et,juletre,,noun,"juletreet, juletrær, juletrærne",Christmas tree
,juli,,noun,,July
,juni,,noun,,June
en,jus,,noun,jusen,law
en,jødedom,,noun,jødedommen,Judaism
,,,,,
,,,,,
,,,,,
kafé,,noun,"kaféen, kaféer, kaféne",café,
en,kafeteria,,noun,"kafeteriaen, kafeteriaer, kafeteriaene",cafeteria
en,kaffe,,noun,kaffen,coffee
en,kaffepause,,noun,"kaffepausen, kaffepauser, kaffepausene",coffee break
en,kajakk,,noun,"kajakken, kajakker, kajakkene",kayak
en,kakao,,noun,kakaoen,cocoa
ei/en,kake,,noun,"kaka/kaken, kaker, kakene",cake
,kald,,adj./adv.,"kaldt, kalde",cold
en,kalender,,noun,"kalenderen, kalendere, kalenderne",calendar
en,kalkulator,,noun,"kalkulatoren, kalkulatorer, kalkulatorene",calculator
en,kalkun,,noun,"kalkunen, kalkuner, kalkunene",turkey
en,kalkunfilet,,noun,"kalkunfileten, kalkunfileter, kalkunfiletene",turkey breast
et,kamera,,noun,"kameraet, kameraer, kameraene",camera
en,kamp,,noun,"kampen, kamper, kampene","game, match; battle"
,kan,,verb,present tense of “ kunne”,"can, am able to"
,• Jeg kan spille gitar.,,,,• I can play the guitar.
,kan,,verb,present tense of “ kunne”,know
,• Jeg kan norsk.,,,,• I know Norwegian.
en,kanadier/canadier,,noun,"kanadieren, kanadiere, kanadierne",a Canadian
,kanadisk/canadisk,,adj.,"kanadisk, kanadiske",Canadian
en,kanal,,noun,"kanalen, kanaler, kanalene",canal
en,kano,,noun,"kanoen, kanoer, kanoene",canoe
en,kanotur,,noun,"kanoturen, kanoturer, kanoturene",canoe trip
,kanskje,,adv.,,"perhaps, maybe"
ei/en,kantine,,noun,"kantina/kantinen, kantiner, kantinene",cafeteria
et,kapell,,noun,"kapellet, kapeller, kapellene",chapel
et,kapittel,,noun,"kapittelet, kapitler, kapitlene",chapter
en,kaps,,noun,"kapsen, kaps/kapser, kapsene",baseball cap
et,kar,,noun,"karet, kar, karene","tub, basin"
en,karakter,,noun,"karakteren, karakterer, karakterene",grade
en,karamellpudding,,noun,"-puddingen, -puddinger, -puddingene",custard with caramel sauce
en,karate,,noun,karaten,karate
,• drive karate,,,,do karate
en,karbonade,,noun,"karbonaden, karbonader, karbonadene",meat patty
en,kardemomme,,noun,kardemommen,cardamom
en,karri,,noun,karrien,curry
en,karriere,,noun,"karrieren, karrierer, karrierene",career
et,kart,,noun,"kartet, kart, kartene",map
ei/en,kasse,,noun,"kassa/kassen, kasser, kassene",cash register
en,kassett,,noun,"kassetten, kassetter, kassettene",cassette
en,kassettspiller,,noun,"kassettspilleren, kassettspillere, kassettspillerne",cassette player
å,kaste,,verb,"kaster, kastet, har kastet",throw
,• kaste opp,,,,• throw up
,• kaste snøball,,,,• throw snowballs
en,katastrofe,,noun,"katastrofen, katastrofer, katastrofene",catastrophe
en,katedral,,noun,"katedralen, katedraler, katedralene",cathedral
ei/en,katt,,noun,"katta/katten, katter, kattene",cat
en,kaviar,,noun,kaviaren,caviar
en,kebab,,noun,"kebaben, kebaber, kebabene",kebab
en,kelner,,noun,"kelneren, kelnere, kelnerne",waiter
en,keramikk,,noun,keramikken,"pottery, ceramics"
ei/en,khakibukse,,noun,"khakibuksa/khakibuksen, khakibukser, khakibuksene",khaki pants
å,kikke,,verb,"klikker, kikket, har kikket","peek, look"
en/et,kilo,,noun,"kiloen/kiloet, kilo, kiloene","kilo, 2.2 pounds"
,Kina,,noun,,China
en,kinakål,,noun,kinakålen,Chinese cabbage
en,kineser,,noun,"kineseren, kinesere, kineserne",person from China
,kinesisk,,adj.,"kinesisk, kinesiske",Chinese
en,kinesisk,,noun,kinesisken,Chinese language
et,kinn,,noun,"kinnet, kinn, kinnene",cheek
en,kino,,noun,"kinoen, kinoer, kinoene",movie theater
en,kiosk,,noun,"kiosken, kiosker, kioskene",newsstand
ei/en,kirke,,noun,"kirka/kirken, kirker, kirkene",a church
,kirkelig,,adj.,"kirkelig, kirkelige","religious, church"
,• kirkelig begravelse,,,,• church funeral
,• kirkelig konfirmasjon,,,,• church confirmation
,• kirkelig vigsel/vielse,,,,• church wedding
et,kirsebær,,noun,"kirsebæret, kirsebær, kirsebærene",cherry
å,kjede,,verb,"kjeder, kjedet, har kjedet",be bored
,kjedelig,,adj.,"kjedelig, kjedelige",boring
,kjekk,,adj.,"kjekt, kjekke","handsome, good-looking; nice"
en,kjeks,,noun,"kjeksen, kjeks, kjeksene",cracker
en,kjeller,,noun,"kjelleren, kjellere, kjellerne","cellar, basement"
ei/en,kjellerstue,,noun,"kjellerstua/kjellerstua, kjellerstuer, kjellerstuene",family room in basement
en,kjemi,,noun,kjemien,chemistry
,• Kjemien stemte,,,,• The chemistry was right
,kjempe-,,prefix,,very
,• kjempefin,,,"kjempefint, kjempefine","very nice, very fine"
,• kjempegod,,,"kjempegodt, kjempegode","very good, very delicious"
en,kjendis,,noun,"kjendisen, kjendiser, kjendisene",celebrity
å,kjenne,,verb,"kjenner, kjente, har kjent","know, be acquainted"
,kjent,,adj.,"kjent, kjente","well-known, familiar"
en,kjernefamilie,,noun,"kjernefamilien, kjernefamilier, kjernefamiliene",nuclear family
en,kjole,,noun,"kjolen, kjoler, kjolene",dress
,• kjole og hvitt,,,,• white tie and tails
,kjær,,adj.,"kjært, kjære",dear
,• Kjære...,,,,• Dear... (opening of a letter)
en,kjæreste,,noun,"kjæresten, kjærester, kjærestene",girlfriend or boyfriend
ei/en,kjærlighet,,noun,kjærligheta/kjærligheten,love
,• kjærlighet ved første blikk,,,,• love at first sight
ei/en,kjærlighetsgudinne,,noun,"-gudinna/-gudinnen, -gudinner, -gudinnene",goddess of love
et,kjøkken,,noun,"kjøkkenet, kjøkkener, kjøkkenene",kitchen
en,kjøkkenbenk,,noun,"kjøkkenbenken, kjøkkenbenker, kjøkkenbenkene",kitchen counter
et,kjøleskap,,noun,"kjøleskapet, kjøleskap, kjøleskapene",refrigerator
,kjølig,,adj./adv.,"kjølig, kjølige",cool
et,kjønn,,noun,"kjønnet, kjønn, kjønnene",gender
ei/en,kjønnsrolle,,noun,"kjønnsrolla/kjønnsrollen, kjønnsroller, kjønnsrollene",gender roles
,kjønnsstudier,,"noun, pl.",kjønnsstudiene,gender studies
å,kjøpe,,verb,"kjøper, kjøpte, har kjøpt",buy
,• kjøpe klær,,,,• buy clothes
et,kjøpepress,,noun,"kjøpepresset, kjøpepress, kjøpepressene",pressure to buy things
et,kjøpesenter,,noun,"kjøpesenteret, kjøpesentre, kjøpesentrene",buy
å,kjøre,,verb,"kjører, kjørte, har kjørt",drive
,• kjøre bil,,,,• drive a car
,• kjøre motorsykkel,,,,• drive a motorcycle
,• kjøre slalåm,,,,• downhill ski
,• kjøre snowboard/snøbrett,,,,• go snowboarding
,• kjøre snøscooter/snøskuter,,,,• go snowmobiling
,• kjøre telemark,,,,• go telemark skiing
et,kjøtt,,noun,"kjøttet, kjøtt, kjøttene",meat
en,kjøttdeig,,noun,"-deigen, -deiger, -deigene",ground meat beef
ei/en,kjøttkake,,noun,"-kaka/-kaken, -kaker, -kakene","meat ball, meat cake"
en,klage,,noun,"klagen, klager, klagene",complaint
å,klage,,verb,"klager, klaget, har klaget",complain
å,klappe,,verb,"klapper, klappet, har klappet","clap (hands); caress, pat"
,klar,,adj.,"klart, klare",clear; ready
,"• Klar, ferdig, gå!",,,,"• Ready, set, go!"
å,klare,,verb,"klarer, klarte, har klart",manage
en,klasse,,noun,"klassen, klasser, klassene",class of students; grade level
en,klasseforstander,,noun,"klasseforstanderen, klasseforstandere, klasseforstanderne",home room teacher
et,klasserom,,noun,"klasserommet, klasserom, klasserommene",classroom
,klassisk,,adj.,"klassisk, klassiske",classical
,• klassisk musikk,,,,• classical music
å,klatre,,verb,"klatrer, klatret, har klatret",climb
å,kle,,verb,"kler, kledde, har kledd","clothe, dress"
,• kle av seg,,,,• get undressed
,• kle på seg,,,,• get dressed
,• kle seg ut,,,,• dress up in a costume
en,klem,,noun,"klemmen, klemmer, klemmene",hug
en,klementin,,noun,"klementinen, klementiner, klementinene",clementine fruit
å,klemme,,verb,"klemmer, klemte, har klemt",hug
en,klesbutikk,,noun,"klesbutikken, klesbutikker, klesbutikkene",clothing store
en,klesforretning,,noun,"-forretninga/-forretningen, -forretninger, -forretningene",clothing store
et,klesskap,,noun,"klesskapet, klesskap, klesskapene","closet, wardrobe"
et,klima,,noun,"klimaet, klimaer, klimaene",climate
en,klinikk,,noun,"klinikken, klinikker, klinikkene",clinic
å,klippe,,verb,"klipper, klippet, har klippet",cut
,• klippe gresset,,,,• cut the grass
,• klippe plenen,,,,• cut the lawn
å,klippe seg,,"verb, refl.","klipper seg, klippet seg, har klippet seg",get a haircut
ei/en,klokke,,noun,"klokka/klokken, klokker, klokkene",clock; watch
,• Hva er klokka?,,,,• What time is it?
en,klubb,,noun,"klubben, klubber, klubbene",club
,klær,,"noun, pl.",klærne,clothing
å,klø,,verb,"klør, klødde, har klødd",itch
et,kne,,noun,"kneet, knær, knærne",knee
et,kneippbrød,,noun,"kneippbrødet, kneippbrød, kneippbrødene",whole wheat bread
et,knekkebrød,,noun,"knekkebrødet, knekkebrød, knekkebrødene","rye krisp, Wasa bread"
å,koke,,verb,"koker, kokte, har kokt",boil
en,kokk,,noun,"kokken, kokker, kokkene",cook
,kokt,,adj.,"kokt, kokte",boiled
,• kokte poteter,,,,• boiled potatoes
en,kollega,,noun,"kollegaen, kollegaer/kolleger, kollegaene/kollegene",colleague
,kollektiv,,adj.,"kollektivt, kollektive",collective
,• kollektiv transport,,,,• public transportation
en,kollektivtrafikk,,noun,"-trafikken, -trafikker, -trafikkene",public transportation
å,kombinere,,verb,"kombinerer, kombinerte, har kombinert",combine
en,komedie,,noun,"komedien, komedier, komediene",comedy
,komfortabel,,adj.,"komfortabelt, komfortable",comfortable
en,komfyr,,noun,"komfyren, komfyrer, komfyrene",stove
å,komme,,verb,"kommer, kom, har kommet",come
,• komme hit,,,,• come here
,• komme i kontakt med,,,,• come in contact with
,• komme på besøk,,,,• come for a visit
en,kommode,,noun,"kommoden, kommoder, kommodene",dresser
en,kommune,,noun,"kommunen, kommuner, kommunene",municipality
en,kommunikasjon,,noun,"kommunikasjonen, kommunikasjoner, kommunikasjonene","communication, communication studies; transportation"
en,kompliment,,noun,"komplimenten, komplimenter, komplimentene",compliment
en,konduktør,,noun,"konduktøren, konduktører, konduktørene",conductor
ei/en,kone,,noun,"kona/konen, koner, konene",wife
en,konfirmasjon,,noun,"konfirmasjonen, konfirmasjoner, konfirmasjonene",confirmation
å,konfirmere,,verb,"konfirmerer, konfirmerte, har konfirmert",confirm
å,konfirmere seg,,verb,"konfirmerer seg, konfirmerte seg, har konfirmert seg",get confirmed
en,konge,,noun,"kongen, konger, kongene",king
et,kongerike,,noun,"kongeriket, kongeriker, kongerikene",kingdom
en,konjunksjon,,noun,"konjunksjonen, konjunksjoner, konjunksjonene",conjunction
